Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
generalInfo.p.studentTT1,"A specified student is an individual who during :year carried at least half the normal full-time workload at a higher education institution, for a period of 5 months or greater, and who is not a qualified former foster youth or a qualified homeless youth.","Yon etidyan espesifik se yon moun ki, pandan :year konplete omwen mwatye nan kantite travay nòmal aplentan nan yon enstitisyon siperyè, pou yon peryòd 5 mwa oubyen plis, epi ki pa yon ansyen jèn ki kalifye oubyen yon jèn ki kalifye ki san kay.","Определенный студент - это человек, который в течение :year выполнял как минимум половину обычной дневной нагрузки в высшем учебном заведении, в течение 5 месяцев или более, и который не является соответствующим требованиям бывшим приемным молодым человеком или соответствующим требованиям бездомным молодым человеком.",特定学生是指在 :year 期间在高等教育机构、在 5 个月或以上的时间里，至少完成了一半正常全日制学习量的个人，并且其不是符合条件的曾被领养青少年或符合条件的无家可归青少年。,특화 학생이란 :year년에 고등 교육 기관에서 5개월 이상 기간 동안 일반 전일제 학업량의 반 이상을 수행하는 학생이며 적격 이전 전 위탁 청년 혹은 적격 청년 노숙인이 아닌 학생입니다.,Học sinh/sinh viên được xác định là một cá nhân mà trong :year đã thực hiện ít nhất một nửa khối lượng công việc toàn thời gian thông thường tại một cơ sở giáo dục bậc cao trong thời gian từ 5 tháng trở lên và không phải là thanh thiếu niên từng được nhận nuôi tạm đủ điều kiện hoặc thanh thiếu niên vô gia cư đủ điều kiện.,"Un estudiante especificado es una persona que durante el año :year tuvo, al menos, la mitad de las unidades requeridas a tiempo completo en una institución de educación superior, para un período de 5 meses o más, y que no es un joven calificado que estuvo en una casa de crianza o un joven calificado sin hogar.",指定學生指的是在 :year 年期間在高等教育機構註冊至少一般全日制時數量的一半的個人，並且為期 5 個月或更長時間，並且不是合格的前寄養青年或合格的無家可歸青年。
generalInfo.p.subtitle,Answer a few quick questions about yourself to see if you qualify.,Reponn kèk ti kesyon byen rapid konsènan oumenm pou ou konnen si ou kalifye,"Ответьте на несколько коротких вопросов о себе, чтобы узнать, соответствуете ли вы требованиям.",简要回答关于您本人的几个问题，以确认您是否符合条件。,적격인지 확인하기 위해 자신에 대한 간단한 몇 가지 질문에 답하세요.,Trả lời một số câu hỏi nhanh về bản thân để xem liệu quý vị có đủ điều kiện hay không.,Responda algunas preguntas rápidas sobre usted para saber si califica.,回答幾個關於您自己的簡單問題，看看您是否符合資格。
generalInfo.p.validSSNTT1,You must have a valid Social Security number (SSN) that is issued by the Social Security Administration on or before the due date of your :year tax return (including extensions). ,Ou dwe gen yon nimewo Sekirite Sosyal (SSN) ki valid ke Administrasyon Sekirite Sosyal la bay nan dat limit deklarasyon taks 2025 ou a oswa anvan (ki gen ladan ekstansyon yo).,"Вы должны иметь действительный номер социального страхования (SSN), выданный Управлением социального страхования не позднее установленной даты подачи налоговой декларации за :year год (включая продления).",您必须在 :year 年纳税申报表（包括延期）到期日或之前拥有由社保局颁发的有效社会安全号码 （SSN）。,:year 년 세금 신고서(연장 포함) 마감일 또는 그 이전에 사회보장국에서 발급한 유효한 사회보장번호(SSN)가 있어야 합니다.,"Quý vị phải có Số An Sinh Xã Hội (Social Security number, SSN) hợp lệ do Cơ Quan An Sinh Xã Hội (Social Security Administration) cấp vào hoặc trước ngày đến hạn khai thuế năm 2025 (bao gồm cả thời gian gia hạn).","Usted tiene que tener un número de Seguro Social (SSN por sus siglas en inglés) válido, emitido por la Administración de Seguro Social en o antes de la fecha de vencimiento de su declaración de impuestos del :year (inclusive de las prórrogas).",您必須在 :year 年納稅申報表（包括延期）到期日或之前擁有由社保局頒發的有效社會安全號碼 （SSN）。
generalInfo.p.validSSNTT2,"If your Social Security card reads “Valid for work with DHS authorization” or “Valid for work with INS authorization” on it, it is a valid SSN if the authorization is still valid.","Si kat Sekirite Sosyal ou a ekri ""Valid pou travay avèk otorizasyon DHS"" oswa ""Valid pou travay avèk otorizasyon INS"" sou li, li se yon SSN valid si otorizasyon an toujou valid.","Если на вашей карточке социального страхования указано «Действительна для работы с разрешением DHS» или «Действительна для работы с разрешением INS», то это ваш действительный номер социального страхования, если разрешение все еще действительно.",如果您的社会保卡上写着“经国土安全部授权可用于工作”或“经 INS 授权可用于工作”，只要该授权仍然有效，则这张卡上的 SSN 仍然有效。,"사회 보장 카드에 ""DHS 승인 시 취업 가능(Valid for work with DHS authorization)” 또는 “INS 승인 시 취업 가능(Valid for work with INS authorization)”이라고 표시되어 있다면, 해당 승인 상태가 여전히 유효할 경우 이 사회보장번호(SSN)는 유효한 것으로 간주됩니다.","Nếu thẻ An Sinh Xã Hội của quý vị ghi ""Hợp lệ để làm việc với sự cho phép của Bộ An Ninh Nội Địa"" (Department of Homeland Security, DHS) hoặc ""Hợp lệ để làm việc với sự cho phép của Sở Di Trú Và Nhập Tịch"" (Immigration and Naturalization Service, INS) trên đó thì đó là SSN hợp lệ nếu ủy quyền vẫn còn hiệu lực.","Si su tarjeta de Seguro Social tiene impresas las palabras “Valid for work with DHS authorization” o “Valid for work with INS authorization” (Válido para el empleo con autorización del Departamento de Seguridad Nacional (DHS por sus siglas en inglés)) o con la autorización del Servicio de inmigración y nacionalización (INS por sus siglas en inglés)), entonces el SSN es válido siempre que la autorización siga vigente.",如果您的社會保卡上寫著「經國土安全部授權可用於工作」或「經 INS 授權可用於工作」，只要該授權仍然有效，則這張卡上的 SSN 仍然有效。
generalInfo.p.validSSNTT3,,"Nou aksepte yon kat sekirite sosyal ki make ""Valab pou travay avèk otorizasyon DHS"" sèlman toutotan otorizasyon DHS la toujou valab.","Мы принимаем карту социального обеспечения, на которой написано «Действительно для работы с разрешением DHS», только если разрешение DHS все еще действительно.",只有在 DHS 授权仍然有效的情况下，我们才会接受卡上印有“DHS 授权工作有效”字样的社会安全卡。,"우리는 ""Valid for work with DHS authorization (국토 안보부의 승인에 의한 취업이 유효)"" 라고 사회 보장 카드에 쓰여 있는 카드는 DHS 허가가 유효한 한 받아줍니다. ","Chúng tôi chỉ chấp nhận thẻ an sinh xã hội có ghi ""Hợp lệ để làm việc với sự cho phép của Bộ An Ninh Nội Địa Hoa Kỳ (DHS)"" miễn là sự ủy quyền của DHS vẫn còn hiệu lực.",,只要 DHS 授權仍然有效，我們就接受上面印有「在 DHS 授權下工作有效」的社會安全卡。
generalInfo.p.validSSNTT4,"For the EITC, we don't accept:","Pou EITC a, nou pa aksepte:",Для получения налогового зачета за заработанный доход (EITC) мы не принимаем:,对于 EITC，我们不接受：,EITC의 경우 다음을 허용하지 않습니다:,"Đối với Tín Dụng Thuế Thu Nhập Kiếm Được (Earned Income Tax Credit, EITC), chúng tôi không chấp nhận:","Para los propósitos del  Crédito Tributario por Ingreso del Trabajo (EITC, por sus siglas en inglés), no aceptamos:",對於 EITC，我們不接受：
generalInfo.p.validSSNTT5,See :irsPub596 for more information on a :validSocial.,Gade Piblikasyon 596 pou plis enfòmasyon sou yon Nimewo Sekirite Sosyal ki valid.,Для получения дополнительной информации о действительном номере социального страхования см. Публикацию № 596.,有关有效社会安全号码的更多信息，请参阅《出版物 596》。,유효한 사회 보장 번호에 대한 자세한 내용은 간행물 596을 참조하십시오.,Xem Ấn Bản 596 để biết thêm thông tin về Số An Sinh Xã Hội hợp lệ.,Consulte  la Publicación 596 para más información sobre los números de Seguro Social válidos.,有關有效社會安全號碼的更多資訊，請參閱《出版物 596》。
generalInfo.p.validSSNTT6,Publication 596,,,,,,,
generalInfo.p.validSSNTT7,valid Social Security Number,,,,,,,
generalInfo.p.validSSNWarning,You can't claim the EITC because you don't have a valid Social Security number issued on or before the due date of your tax return.,Ou pa kapab aplike pou EITC paske ou pa gen yon nimewo Sekirite Sosyal ki valab ki te bay nan dat delè deklarasyon taks ou a.,"Вы не можете претендовать на получение EITC, потому что у вас нет действительного номера социального обеспечения, выданного на дату подачи налоговой декларации или до нее.",您无法申请 EITC，因为您没有在您的报税表的截止日期当日或之前签发的有效社会安全号码。,귀하는 세금 신고서의 기한 이전에 사회보장국에서 발급한 유효한 사회 보장 번호(SSN)가 없기 때문에 EITC를 신청할 수 없습니다.,Quý vị không thể yêu cầu EITC vì quý vị không có số an sinh xã hội hợp lệ được cấp vào hoặc trước ngày đến hạn của tờ khai thuế của quý vị.,No puede reclamar el crédito tributario por ingreso del trabajo porque usted no tiene un número de seguro social válido emitido en la fecha de vencimiento de su declaración de impuestos o antes de esta.,您不能申領 EITC，因為您的報稅表到期日或之前未被簽發的有效社會安全號碼。
generalInfo.p.validSSNWarning2,"For more information, see :irsPub596, Earned Income Credit."," Pou plis enfòmasyon, gade:irsPub596",Для получения дополнительной информации смотрите :irsPub596,欲了解更多信息，请参阅 :irsPub596,자세한 정보는  :irsPub596을 확인하세요.,"Để biết thêm thông tin, xem :irsPub596","Para obtener más información, visite la :irsPub596",如需瞭解更多資訊，請參閱 :irsPub596
generalInfo.p.yearModal,Changing the year will clear all your previously entered data. Do you still wish to continue?,Chanje ane a pral efase tout done ou te antre deja. Ou toujou vle kontinye?,При изменении года все ранее введенные данные будут очищены. Вы все еще хотите продолжить?,更改年份将清除之前输入的所有数据。是否继续？,연도를 변경하면 귀하가 앞에서 입력한 데이터 모두가 지워집니다. 그래도 계속 하시겠습니까?,Việc thay đổi năm sẽ xóa mọi dữ liệu đã nhập trước đó của quý vị. Quý vị có muốn tiếp tục không?,Cambiar el año borrará toda la información ingresada anteriormente. ¿Desea continuar de todas formas?,更改年份將清除您之前填入的所有資料。您還想繼續嗎？
generalInfo.p.yearModal1,Changing year will clear your previously entered data.  Do you still wish to continue?,,,一旦年份更改，之前输入的数据即会清除。是否继续？,연도를 변경하면 귀하가 앞에서 입력한 데이터 모두가 지워집니다. 그래도 계속 하시겠습니까?,Việc thay đổi năm sẽ xóa mọi dữ liệu đã nhập trước đó của quý vị. Quý vị có muốn tiếp tục không?,El cambio de año borrará los datos ingresados anteriormente. ¿Desea continuar?,一旦年份更改，之前輸入的數據即會清除。是否繼續？
generalInfo.p.yearTT,For wages and other income earned in:,Pou salè ak lòt revni ou touche nan:,"Для заработной платы и других доходов, заработанных в:",对于工资和其他劳动所得：,임금 혹은 기타 근로 소득:,Đối với lương bổng và thu nhập kiếm được khác trong:,Para el sueldo y otros ingresos devengados en:,對於工資和其他收入：
generalInfo.span.ageError,Age is required,Laj obligatwa,Требуется возраст,年龄必填,나이가 요구됩니다.,Tuổi là bắt buộc,Se necesita la edad,年齡是必填項
generalInfo.span.claimedAsDependentError,Claimed As Dependent is required,Reklame kòm depandan obligatwa,Claimed As Dependent требуется,被申领为受抚养人必填,부양가족으로 신청이 요구됩니다.,Được Kê Khai Là Người Phụ Thuộc là bắt buộc,Se necesita la opción reclamado como persona dependiente,被申領為被撫養人是必填項
generalInfo.span.foreignIncomeError,Foreign Income is required,Revni Aletranje obligatwa,Требуется иностранный доход,国外所得必填,해외 소득이 요구됩니다.,Thu Nhập Từ Nước Ngoài là bắt buộc,Se necesitan los ingresos devengados en el extranjero,外國收入是必填項
generalInfo.span.validSSNError,Valid Social Security Number is required,Yon nimewo sekirite sosyal valab obligatwa,Требуется действительный номер социального обеспечения,有效社会安全号码必填,유효한 사회 보장 번호가 요구됩니다.,Số An Sinh Xã Hội Hợp Lệ là bắt buộc,Se necesita un número de Seguro Social válido,有效的社會安全號碼是必填項
generalInfo.span.yearError,Year is required,Ane obligatwa,Требуется год,年份必填,연도가 요구됩니다.,Năm là bắt buộc,Se necesita el año,年份是必填項
global.a.agi,AGI,AGI,AGI (скорректированный валовой доход),AGI,총조정소득(AGI),Tổng Thu Nhập Điều Chỉnh (AGI),Ingreso bruto ajustado (AGI),AGI
global.a.filingStatus,Filing Status,Kondisyon Fiskal,Статус подачи документов,报税状态,신고 지위 -도움말,Tư Cách Khai Thuế,Estado civil para los efectos de la declaración,報稅身份
global.a.generalInfo,General Info,Enfòmasyon Jeneral,Общая информация,一般信息,일반 정보,Thông tin chung,Información general,一般資訊
global.a.qualifyingChildren,Qualifying Children,Timoun Kalifye,Отвечающие требованиям дети,符合条件的子女,적격 자녀 ,Trẻ Đủ Điều Kiện,Hijos que reúnen los requisitos,符合資格的子女
global.a.results,Results,Rezilta Ou yo,Результаты,结果,결과,Kết Quả,Resultados,結果
global.bold.and,AND,AK,И,并且,그리고,VÀ,Y,以及
global.breadcrumb.credits,Credits & Deductions,Kredi ak dediksyon,Зачеты и вычеты,抵免与扣减,세액공제 및 소득공제,Các Khoản Tín Thuế & Khấu Trừ,Créditos y deducciones,稅務優惠和扣除額
global.breadcrumb.eitcCalc,EITC Calc,Kalkil EITC,Расчет EITC,EITC 计算,EITC 계산,Tính Toán EITC,Cálculo del EITC,EITC 計算
global.breadcrumb.filingStatus,Filing Status,Kondisyon Fiskal,Статус подачи документов,报税状态,신고 지위 -도움말,Tư Cách Khai Thuế,Estado civil para los efectos de la declaración,報稅身份
global.breadcrumb.generalInfo,General Info,Enfòmasyon Jeneral,Общая информация,一般信息,일반 정보,Thông tin chung,Información general,一般資訊
global.breadcrumb.home,Home,Paj dakèy,Домашний телефон,居所,집,Nhà Ở,Inicio,住址
global.breadcrumb.individuals,Individuals,Moun,Физические лица,个人,개인 ,Cá Nhân,Peronas,個人
global.breadcrumb.landingPage,Use the EITC Assistant,Sèvi ak sòsye EITC la,Используйте помощник по налоговому зачету за заработанный доход (EITC),使用劳动所得税抵免助手,EITC 지원을 사용하세요.,Sử Dụng Công Cụ Trợ lý EITC,Utilice el asistente del EITC,使用勞動所得稅務優惠助理
global.btn.cancel,Cancel,Anile,Отменить,取消,취소,Hủy,Cancelar,取消
global.btn.close,Close,,,,,,,
global.btn.confirm,Confirm,Pou konfime,Подтвердить,确认,확인,Xác nhận,Confirmar,確認
global.button.addAnother,Add Another,ajoute yon lòt,Добавить другое,添加其他,다른 항목 추가,Thêm Mục Khác,Agregar otro,新增另一項
global.button.back,Back,Retounen,Назад,返回,뒤로,Quay lại,Anterior,返回
global.button.next,Next,Swivan,Далее,下一步,다음으로,Tiếp theo,Siguiente,下一步
global.h1.appTitle,Earned Income Tax Credit (EITC) Assistant,Asistan Kredi Taks Sou Revni Ou Fè (EITC) ,Помощник по налоговому зачету за заработанный доход (EITC),劳动所得税抵免 (EITC) 助手,근로 소득 세액공제(EITC) 지원,Công Cụ Trợ Lý Tín Thuế Thu Nhập Kiếm Được (EITC),Asistente del crédito tributario por ingreso del trabajo (EITC),勞動所得稅務優惠（EITC）助理
global.heading.attention,Attention:,Atansyon:,Внимания:,注意：,주의:,Chú ý:,Atención:,注意：
global.heading.childQualifiesAlert,Child qualifies,Timoun kalifye yo,Ребенок соответствует требованиям,符合条件的子女,자녀 자격,Trẻ đủ điều kiện,El menor califica,符合資格的子女
global.heading.eitcNoQualify,You don't qualify for the Earned Income Tax Credit (EITC).,Ou pa kalifye pou kredi taks sou revni (EITC).,Вы не имеете права на налоговый зачет за заработанный доход (EITC).,您没有资格申请劳动所得税抵免 (EITC),근로 소득 세액 공제(EITC)를 받을 자격이 없습니다.,Quý vị không đủ điều kiện nhận Tín Thuế Thu Nhập Kiếm Được (EITC).,Usted no reúne los requisitos para el Crédito Tributario por Ingreso del Trabajo (EITC por sus siglas en inglés).,您不符合资格获得劳动所得税抵免（EITC）（低收入家庭福利优惠）。
global.heading.errorMultiple,The following :num errors have occurred:, :num erè annapre yo te rive:,Произошли следующие ошибки :num:,发生了以下 :num 错误：,다음 :num 오류들이 발생했습니다.,Đã xảy ra :num lỗi sau:,Se produjeron los siguientes :num errores:,發生以下 :num 錯誤：
global.heading.errorSingle,The following error has occurred:,Erè annapre a te rive:,Произошла следующая ошибка:,发生了以下错误：,다음 오류가 발생했습니다.,Đã xảy ra lỗi sau:,Se produjo el siguiente error:,發生以下錯誤：
global.heading.followingErrorsOccurred,The following errors have occurred:,Erè sa yo rive:,Возникли следующие ошибки:,发生了以下错误：,다음의 오류가 발생했습니다.,Các lỗi sau đây đã xảy ra:,Se produjeron los siguientes errores:,發生以下錯誤：
global.heading.nonTranslatedWarning,,Atansyon:,Внимание:,注意:,주의:,Chú ý:,Atención:,注意:
global.heading.pleaseNote,Please note,Tanpri sonje,Пожалуйста учтите,请注意,알아두세요.,Xin lưu ý,Tenga en cuenta,請注意
global.label.17Under,17 and under,17 e mwens,17 и моложе,未满 17 周岁（含）,만 17세 이하,17 tuổi trở xuống,17 años y menos,17 歲及以下
global.label.18,18,18,18,18,만 18세,18,18 años,18
global.label.19-23,19 to 23,19 a 23,с 19 по 23,19 岁至 23 岁,만 19세에서 23세,19 đến 23,19 a 23 años,19 – 23 歲
global.label.24Over,24 and over,24 e plis,24 и старше,24 岁及以上,만 24세 이상,24 tuổi trở lên,24 años y más,24 歲以上
global.label.24Under,,24 lane ak pi piti,До 24 лет включительно,未满 24 周岁,24세 이하,24 tuổi trở xuống,24 años y menos,24 歲及以下
global.label.25-64,,Ant 24 ak 65 lane,В возрасте от 25 до 64 лет включительно,25 至 64 周岁,25세~64세,Từ 25 đến 64,Entre 25 y 64 años,25 至 64 歲之間
global.label.64Over,,65 lane ak plis,Старше 65 лет,年满 65 周岁,65세 이상,65 tuổi trở lên,65 años y más,65 歲及以上
global.label.head-of-household,Head of Household,chèf fanmi,Глава семьи,户主,세대주,Chủ Gia Đình,Cabeza de familia,戶主
global.label.married,Married Filing Jointly,Marye Ranpli Ansanm,Супруги подающие документы совместно,已婚夫妇联合申报,부부 공동 신고,Vợ Chồng Khai Chung Hồ Sơ Thuế,Casado/a que presenta una declaración conjunta,夫妻共同申報
global.label.married-separate,Married Filing Separately,Marye Ranpli Separeman,Супруги подающие документы раздельно,已婚夫妇单独申报,부부 개별 신고,Vợ Chồng Khai Riêng Hồ Sơ Thuế,Casado que presenta una declaración por separado,夫妻各自申報
global.label.no,No,Non,Нет ,否,아니요,Không,No,否
global.label.noneAbove,None of the above,Okenn nan repons sa yo,Ничего из вышеперечисленного,以上都不是,위에 해당 사항 없음,Không điều nào kể trên,Ninguna de las opciones anteriores,以上皆非
global.label.single,Single,Sèlman,Не женат/не замужем,单身,독신,Độc thân,Soltero/a,單身
global.label.widow,Qualifying Surviving Spouse,Konjwen Vivan ki Kalifye,"Переживший супруг, соответствующий установленным требованиям",符合条件的未亡配偶,적격 생존 배우자,Vợ/Chồng Của Người Đã Mất Đủ Điều Kiện,Cónyuge sobreviviente que califica,符合資格的喪偶者
global.label.yes,Yes,Wi,Да,是,네,Có,Sí,是
global.p.appTitle,The Earned Income Tax Credit (EITC) helps low-to-moderate income workers and families get a tax break. Answer some questions to see if you qualify.,Kredi Taks Sou revni Ou Fè (EITC) ede travayè yo ak fanmi yo jwenn soulajman ak taks. Reponn kèk kesyon pou wè si ou kalifye.,"Налоговый зачет за заработанный доход (EITC) помогает работникам и семьям с низким и умеренным доходом получить налоговые льготы. Ответьте на несколько вопросов, чтобы узнать, соответствуете ли вы требованиям.",劳动所得税抵免 (EITC) 确保中低收入工人和家庭获得税收减免。回答几个问题，以确认您是否符合条件。,근로 소득 세액 공제(EITC)는 저소득 및 소득 근로자와 가정이 세금 혜택을 받을 수 있도록 돕습니다. 귀하가 적격인지 알아보기 위해 몇 가지 질문에 답하세요.,Tín Thuế Thu Nhập Kiếm Được (EITC) giúp những người lao động và gia đình có thu nhập từ thấp đến trung bình được giảm thuế. Vui lòng trả lời một số câu hỏi để xem liệu quý vị có đủ điều kiện hay không.,El crédito tributario por ingreso del trabajo (EITC) ayuda para que trabajadores y familias con ingresos bajos a moderados consigan beneficios fiscales. Responda algunas de las preguntas para saber si califica.,勞動所得稅務優惠（EITC）幫助中低收入工人和家庭獲得稅務減免。回答一些問題，看看您是否符合資格。
global.p.nonTranslatedWarning,,"Nan etap sa a, y ap mande ou kòman ou planifye pou depoze taks ou yo. Ou dwe reponn kesyon sa yo nan lòd.","Эта страница не переведена на русский язык, поскольку перевод на выбранный вами язык в данный момент отсутствует.",本网业目前尚未译成中文,현재 선택하신 언어로는 번역이 제공되지 않음으로 이 페이지는 한국어로 번역되어 있지 않습니다.,Trang này chưa được phiên dịch sang tiếng Việt vì chúng tôi hiện không có bản phiên dịch bằng ngôn ngữ quý vị ưa chuộng.,Esta página no ha sido traducida al español ya que actualmente no hay traducción en el idioma seleccionado.,本網頁目前尚未譯成中文
global.p.usGov,An official website of the United States government,Yon sit entènèt ofisyèl gouvènman Etazini an,Официальный сайт правительства Соединенных Штатов Америки,美国政府官方网站,미국 정부 공식 웹사이트,Trang mạng chính thức của chính phủ Hoa Kỳ,Una página web oficial del gobierno de los Estados Unidos,美美國政府官方網站
global.placeholder.currency,Enter Amount...,Antre montan...,Введите сумму...,输入款额……,액수를 입력하세요.,Nhập Số Tiền...,Ingrese el monto...,填入金額...
global.span.all,all,tout,все,全部,모두,toàn bộ,todo,全部
global.span.andThe,and the,ak,и,以及,그리고 그,và mục,y del,以及
global.span.asterisk,All fields marked with an asterisk :* are required.,Tout espas ki make avèk yon asterisk :* obligatwa.,"Все поля, отмеченные звездочкой :*, обязательны для заполнения.",所有标有星号 :* 的字段为必填字段。,:* 별 표시한 항목은 반드시 입력해야 합니다.,Mọi trường được đánh dấu hoa thị :* không được để trống.,Todos los campos que tienen un asterisco :* son obligatorios.,標有星號 :* 的所有欄位都是必填項。
global.span.box1,box 1,bwat 1,Графа 1,第 1 栏,박스 1,ô 1,casilla 1,方框 1
global.span.box12,box 12,kare 12,Графа 12,第 12 栏,박스 12,ô 12,casilla 12,方框 12
global.span.box2,box 2,bwat 2,Графа 2,第 2 栏,박스 2,ô 2,casilla 2,方框 2
global.span.box5,box 5,bwat 5,Графа 5,第 5 栏,박스 5,ô 5,casilla 5,方框 5
global.span.child,Child,Timoun,Ребенок,子女,자녀,Trẻ em,Hijo,子女
global.span.codeQ,code Q,kòd Q,Код Q,代码 Q,코드 Q,mã Q,código Q,代碼 Q
global.span.dontInclude,Don't include,pa enkli,Не включать,不包括,포함하지 마세요.,Vui lòng không bao gồm,No incluya,不包括
global.span.error,You must enter an amount for :label, Ou dwe antre yon montan pou :label,Вы должны ввести сумму для :label,您必须输入 :label 的款额,귀하는 반드시 :label에 대한 액수를 입력해야 합니다.,Quý vị phải nhập một số tiền cho :label,Debe ingresar un monto de :label,您必須為 :label 填入金額
global.span.note,Note:,Pou sonje:,Примечание:,备注：,참고:,Lưu ý:,Aviso:,備註：
global.span.of,of,nan,.,的,의,của,de,的
global.span.only,only,pou kont li,только,仅,오직,duy nhất,solo,僅限
global.span.step,Step,Etap,Шаг,步骤,단계,Bước,Paso,步驟
global.span.the,the,la,.,的,그,mục,del,的
global.span.yes,yes,Wi,да,是,네,có,Sí,是的
qualifyingChildren.a.age,Error: An age is required to continue.,Erè: Yon laj poko fini,Ошибка: для продолжения требуется указать возраст.,错误：年龄必填，方可继续操作。,오류: 계속하려면 나이가 필요합니다.,Lỗi: Cần phải có tuổi để tiếp tục.,Error: Se necesita una edad para continuar.,錯誤：必須填入年齡才能繼續。
qualifyingChildren.a.claimOther,Error: A response to the question about whether a child can be claimed on someone else's return is required to continue.,Erè: Yon repons sou kesyonn si yon timoun ka reklame nan deklarasyon yon lòt moun poko fini.,"Ошибка: для продолжения требуется ответ на вопрос о том, может ли ребенок быть заявлен в чужой декларации.",错误：必须回答关于相关子女可以在其他人的报税表上被申报的问题，方可继续操作。,오류: 계속하려면 자녀가 다른 사람의 신고서에 자녀로 신청될 수 있는지에 대한 질문에 답해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về việc liệu một đứa trẻ có thể được kê khai trên tờ khai thuế của người khác hay không để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre si se puede reclamar un hijo en la declaración de alguien más para continuar.,錯誤：必須回答有關子女是否可以在其他人的報稅表上被申領的問題才能繼續。
qualifyingChildren.a.claimOtherConfirm,Error: A response to the question about whether a child will be claimed is required to continue.,Erè: Yon repons sou kesyon si yo pral reklame yon timoun poko fini.,"Ошибка: для продолжения требуется ответ на вопрос о том, будет ли заявлен ребенок.",错误：必须回答关于相关子女将被申领的问题，方可继续操作。,오류: 계속하려면 자녀를 신청할지에 대한 질문에 답을 해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về việc liệu trẻ có được kê khai hay không để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre si se reclamará a un hijo para continuar.,錯誤：必須回答有關子女是否會被申領的問題才能繼續。
qualifyingChildren.a.fileJoint,Error: A response to the question about a child's marital status is required to continue.,Erè: Yon repons sou kesyon sou sitiyasyon matrimonyal yon timoun poko fini.,Ошибка: для продолжения требуется ответ на вопрос о семейном положении ребенка.,错误：必须回答关于相关子女的婚姻状况的问题，方可继续操作。,오류: 계속하려면 자녀의 결혼 상태에 대한 질문에 답을 해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về tình trạng hôn nhân của trẻ để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre el estado civil del hijo para continuar.,錯誤：必須回答有關子女婚姻狀況的問題才能繼續。
qualifyingChildren.a.fileJointConfirm,Error: A response to the question about why a child is filing a joint return is required to continue.,Erè: Yon repons sou kesyon poukisa yon timoun ap ranpli yon deklarasyon kolektif poko fini.,"Ошибка: ответ на вопрос о том, почему ребенок подает совместную декларацию, является обязательным для продолжения.",错误：必须回答关于为什么相关子女进行联合申报的问题，方可继续操作。,오류: 계속하려면 왜 자녀가 공동신고를 하고 있는지에 대해 답을 해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về lý do trẻ khai thuế chung để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre por qué un hijo presenta una declaración conjunta para continuar.,錯誤：必須回答有關子女為何正在申報共同報稅表的問題才能繼續。
qualifyingChildren.a.live51Pct,Error: A response to whether a child lived with you more than half the year is required to continue.,Erè: Yon repons sou kesyon si yon timoun te viv avèk ou pou plis pase mwatye yon ane poko fini.,"Ошибка: для продолжения необходимо ответить на вопрос, проживал ли ребенок с вами более половины года.",错误：必须回答关于相关子女这一年是否与您共同生活半年以上的问题，方可继续操作。,오류: 계속하려면 자녀가 해당 연도의 반 이상 귀하와 함께 살았는지 답해야 합니다.,Lỗi: Cần phải có câu trả lời về việc liệu một đứa trẻ đã sống với quý vị hơn nửa năm hay không để tiếp tục.,Error: Se necesita la respuesta sobre si un hijo vivió más de la mitad del año para continuar.,錯誤：必須回答子女是否與您同住超過半年才能繼續。
qualifyingChildren.a.noDependentsAgeWarning1,"Publication 596, Earned Income Credit","Piblikasyon 596, Kredi Sou Revni Ou Antre","Публикация 596, Налоговый зачет за заработанный доход",第596号刊物，劳动所得抵免（英文）,"간행물 596, 근로 소득 공제(영어)","Ấn Phẩm 596, Tín Thuế Thu Nhập Kiếm Được (tiếng Anh)","Publicación 596, Crédito por ingreso del trabajo (en inglés)",596 號出版物 —— 勞動所得稅務優惠（英文）
qualifyingChildren.a.permanentlyDisabled,Error: A response to the question about a child's disability is required to continue.,Erè: Yon repons sou kesyon sou andikap yon timoun poko fini.,Ошибка: для продолжения требуется ответ на вопрос об инвалидности ребенка.,错误：必须回答关于相关子女的残障情况的问题，方可继续操作。,오류: 계속하려면 자녀의 장애에 대한 질문에 답을 해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về tình trạng khuyết tật của trẻ để tiếp tục.,Error: Se necesita la respuesta sobre la incapacidad del hijo para continuar.,錯誤：必須回答有關子女殘疾的問題才能繼續。
